objectid,site_code,common_nm,managing_dept,location,cmty_plan,desg_use,site_acres,dedicated_park,pud_branch,site_restriction,reso_ord_num,reso_ord_dt,globalid,shape_Length,shape_Area
918,C601MM,SEWER PUMP STATION #77A,PUD - Wastewater,"W. BERNARDO DR WLY OF, NLY AGUAMIEL",San Pasqual Valley,SWRPUMP,17.992000000000001,N,WASTE,NONE,R-000000,?,{E189EDDA-B205-4C08-9076-87EC7B8EF996},3282.534965191526226,656831.429194785072468
919,J301GM,ROSELLE ST FLOOD CONTROL,Stormwater,I5 & ROSELLE ST NELY OF,Torrey Pines,FLDCTRL,2.182000000000000,N,,UNK,R-000000,?,{2988F9E2-911C-4BB7-92F6-08EB9F3FAA75},2021.654887463983187,86776.841228088494972
920,S438RS,MARINA LINEAR PARK,Parks & Recreation,L ST SELY; WLY 6TH AV,Centre City,MPARK,0.131000000000000,N,,NONE,R-276166,07/17/1990,{6522C7C7-AC4A-46C7-9171-43FBE1C9B031},429.470944125440781,5441.199037120189132
921,K401RU,CARROLL CANYON OPEN SPACE,Parks & Recreation,NANCY RIDGE & ROSEY RIDGE SWLY,Mira Mesa,OSDESG,51.709000000000003,N,,SFR,R-000000,?,{8BF09A7B-33AA-4D5A-8C39-25494AC9D556},11477.845492824088069,2271844.088588112965226
922,S528PM,SITE 363,PUD - Water,36TH & K STS NWLY OF,Southeastern San Diego,UREV,0.080000000000000,N,WATER,NONE,R-279820,04/27/1992,{A182E2D2-0E7E-4318-B4E5-7713FDBF3422},325.684682144390763,3274.520111406105570
923,S444SM,East Village Green West Block (Future Park),Economic Dev,13th St. and F St.,Centre City,HLDDEV,1.377000000000000,N,,NONE,R-308898,04/28/2014,{B8D46EF7-56ED-4C9D-AA1F-BD83460C6F67},1000.010047499276993,60049.922123960641329
924,O804WM,WATER PUMP PLANT,PUD - Water,WING FL CT WLY TOMMY ST,Navajo,WTRPUMP,0.037000000000000,N,WATER,UNK,R-252633,09/08/1980,{D6815A12-7D17-4587-B614-C8C258696ED1},141.344569753026548,1219.586540841998612
925,R560PM,SITE 683,Real Estate,FEDERAL BL & HOME AV SE COR,City Heights,UREV,0.689000000000000,N,,DEDSTR,R-251059,01/28/1980,{203A3C8C-4A51-4D4E-86E8-7E6635057445},1112.015833353207427,48989.224521557516709
926,Q501FS,FIRE STATION #14,Fire-Rescue,4011 32ND ST,Greater North Park,FIRESTAT,0.321000000000000,N,,SFR,R-000000,?,{2D12A448-D8EF-401F-95A9-145BE2DB495B},469.004376388856713,13396.045660206833418
927,Y602RD,EGGER/SOUTH BAY COMM PARK,Parks & Recreation,CORONADO AVE & SATURN BL,Otay Mesa-Nestor,CMTYPK,8.970000000000001,Y,,DEDOS,O-11573,04/24/1975,{A4CF3CF0-3268-44D8-891A-82F251A0A4FD},2479.600352092888443,386631.377208925201558
928,H226RU,CARMEL VALLEY OPEN SPACE,Parks & Recreation,NELY EL CMNO REAL/CARMEL VLY RD,Carmel Valley,OSDESG,0.096000000000000,N,,NONE,R-271488,08/04/1988,{9DF7910B-7725-4938-89F5-70B2B09386EC},501.981821864923745,4153.274846220577274
