ein,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
204887000,San Diego,CA,92103-4230,3,2024.0,223255.0,224320.0,61463.0,
956095413,San Diego,CA,92103-2653,3,2023.0,181113.0,179396.0,1383231.0,
330523537,San Diego,CA,92102-3230,3,2023.0,207739.0,282872.0,2260174.0,
330830433,San Diego,CA,92109-3116,3,2023.0,90372.0,102778.0,159921.0,
460753740,San Diego,CA,92128-5026,3,2023.0,224116.0,227585.0,37818.0,
330290580,San Diego,CA,92191-0093,3,2023.0,167178.0,155589.0,488190.0,
951794720,San Diego,CA,92120-2454,3,2023.0,174668.0,168040.0,243162.0,
853357743,San Diego,CA,92163-1278,3,2023.0,243350.0,213535.0,75851.0,
330683961,San Diego,CA,92163-2794,3,2024.0,174427.0,180918.0,301142.0,
473812575,San Diego,CA,92114-2221,3,2022.0,166511.0,165609.0,0.0,
261510893,San Diego,CA,92109-6505,3,,,,,
264114723,San Diego,CA,92123-4236,3,2019.0,124218.0,128221.0,29739.0,
320760585,San Diego,CA,92121-4701,3,,,,,
825338671,San Diego,CA,92106-6147,3,2023.0,90558.0,96287.0,114688.0,
884357343,San Diego,CA,92115-2655,3,2023.0,203433.0,83044.0,120389.0,
952477895,San Diego,CA,92117-4358,3,2023.0,141142.0,150440.0,1336584.0,
952822318,San Diego,CA,92131-3924,3,2023.0,167330.0,645457.0,1684712.0,
953513927,San Diego,CA,92112-2228,3,2023.0,121837.0,159610.0,126600.0,
237051020,San Diego,CA,92138-6037,3,2023.0,53555.0,45303.0,99644.0,
611685596,San Diego,CA,92115,3,2015.0,28092.0,37969.0,574.0,
956049872,San Diego,CA,92105-1033,3,2022.0,56447.0,52023.0,69563.0,
330512868,San Diego,CA,92138-2762,3,2023.0,70687.0,72025.0,54011.0,
263864747,San Diego,CA,92110-4710,3,2024.0,57292.0,53421.0,23168.0,
510183640,San Diego,CA,92193-3215,3,2024.0,70153.0,94659.0,289115.0,
330951723,San Diego,CA,92106-2674,3,2023.0,87202.0,51187.0,390602.0,
330063395,San Diego,CA,92123-1565,3,2023.0,45408.0,39078.0,16708.0,
464434088,San Diego,CA,92130-1372,3,,,,,
463297383,San Diego,CA,92129-2813,3,,,,,
