ein,strein,name,sub_name,city,state,ntee_code,subseccd,score,search_query,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
821998118,82-1998118,San Diego Refugee Tutoring,San Diego Refugee Tutoring,San Diego,CA,P20,3,86.63316,san diego,San Diego,CA,92195-3773,3,2023.0,187703.0,229036.0,66336.0,
462537706,46-2537706,Naiop San Diego Foundation,Naiop San Diego Foundation,San Diego,CA,W123,3,86.63316,san diego,San Diego,CA,92130-6650,3,2023.0,264331.0,279417.0,570473.0,
274171187,27-4171187,San Diego Football Academy,San Diego Football Academy,San Diego,CA,N65,3,86.63316,san diego,San Diego,CA,92172-1030,3,2022.0,266545.0,223834.0,4261.0,
330475238,33-0475238,Special Delivery San Diego,Special Delivery San Diego,San Diego,CA,B99Z,3,86.63316,san diego,San Diego,CA,92103-1820,3,2023.0,766075.0,385865.0,617998.0,
201202924,20-1202924,San Diego Writers Ink,San Diego Writers Ink,San Diego,CA,B99,3,86.63316,san diego,San Diego,CA,92106-6013,3,2024.0,255503.0,261186.0,47369.0,
330676518,33-0676518,Rebuilding Together San Diego,Rebuilding Together San Diego,San Diego,CA,L81,3,86.63316,san diego,San Diego,CA,92123-1734,3,2023.0,179486.0,290631.0,831194.0,
204887000,20-4887000,Narrative Initiatives San Diego,Narrative Initiatives San Diego,San Diego,CA,F60,3,86.63316,san diego,San Diego,CA,92103-4230,3,2024.0,223255.0,224320.0,61463.0,
956095413,95-6095413,San Diego Education Fund,San Diego Education Fund,San Diego,CA,E192,3,86.63316,san diego,San Diego,CA,92103-2653,3,2023.0,181113.0,179396.0,1383231.0,
330523537,33-0523537,Arc San Diego Foundation,Arc San Diego Foundation,San Diego,CA,Z99Z,3,86.63316,san diego,San Diego,CA,92102-3230,3,2023.0,207739.0,282872.0,2260174.0,
330830433,33-0830433,San Diego Book Arts,San Diego Book Arts,San Diego,CA,A20,3,86.63316,san diego,San Diego,CA,92109-3116,3,2023.0,90372.0,102778.0,159921.0,
460753740,46-0753740,Life Skills San Diego,Life Skills San Diego,San Diego,CA,P30,3,86.63316,san diego,San Diego,CA,92128-5026,3,2023.0,224116.0,227585.0,37818.0,
330290580,33-0290580,San Diego Chinese Academy,San Diego Chinese Academy,San Diego,CA,A230,3,86.63316,san diego,San Diego,CA,92191-0093,3,2023.0,167178.0,155589.0,488190.0,
951794720,95-1794720,Alcoholics Anonymous San Diego,Alcoholics Anonymous San Diego,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92120-2454,3,2023.0,174668.0,168040.0,243162.0,
853357743,85-3357743,San Diego Black Pride,San Diego Black Pride,San Diego,CA,R22,3,86.63316,san diego,San Diego,CA,92163-1278,3,2023.0,243350.0,213535.0,75851.0,
330683961,33-0683961,San Diego Womens Chorus,San Diego Womens Chorus,San Diego,CA,A6BZ,3,86.63316,san diego,San Diego,CA,92163-2794,3,2024.0,174427.0,180918.0,301142.0,
473812575,47-3812575,San Diego Ayf Inc,San Diego Ayf Inc,San Diego,CA,N65,3,86.63316,san diego,San Diego,CA,92114-2221,3,2022.0,166511.0,165609.0,0.0,
261510893,26-1510893,Zero Waste San Diego,Zero Waste San Diego,San Diego,CA,C20,3,86.63316,san diego,San Diego,CA,92109-6505,3,,,,,
264114723,26-4114723,San Diego Medical Program,San Diego Medical Program,San Diego,CA,E60,3,86.63316,san diego,San Diego,CA,92123-4236,3,2019.0,124218.0,128221.0,29739.0,
320760585,32-0760585,San Diego Orthopaedic Society,San Diego Orthopaedic Society,San Diego,CA,H11,3,86.63316,san diego,San Diego,CA,92121-4701,3,,,,,
825338671,82-5338671,San Diego Filipino Cinema,San Diego Filipino Cinema,San Diego,CA,A31,3,86.63316,san diego,San Diego,CA,92106-6147,3,2023.0,90558.0,96287.0,114688.0,
884357343,88-4357343,San Diego Community Kollel,San Diego Community Kollel,San Diego,CA,X30,3,86.63316,san diego,San Diego,CA,92115-2655,3,2023.0,203433.0,83044.0,120389.0,
952477895,95-2477895,San Diego Psychoanalytic Center,San Diego Psychoanalytic Center,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92117-4358,3,2023.0,141142.0,150440.0,1336584.0,
952822318,95-2822318,San Diego Kind Corp,San Diego Kind Corp,San Diego,CA,L210,3,86.63316,san diego,San Diego,CA,92131-3924,3,2023.0,167330.0,645457.0,1684712.0,
953513927,95-3513927,San Diego Architectural Foundation,San Diego Architectural Foundation,San Diego,CA,U42,3,86.63316,san diego,San Diego,CA,92112-2228,3,2023.0,121837.0,159610.0,126600.0,
237051020,23-7051020,San Diego Bonsai Club,San Diego Bonsai Club,San Diego,CA,A56,3,86.63316,san diego,San Diego,CA,92138-6037,3,2023.0,53555.0,45303.0,99644.0,
611685596,61-1685596,Itn Greater San Diego,Itn Greater San Diego,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92115,3,2015.0,28092.0,37969.0,574.0,
956049872,95-6049872,San Diego Theosophists Inc,San Diego Theosophists Inc,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92105-1033,3,2022.0,56447.0,52023.0,69563.0,
330512868,33-0512868,Pflag San Diego County,Pflag San Diego County,San Diego,CA,Z99Z,3,86.63316,san diego,San Diego,CA,92138-2762,3,2023.0,70687.0,72025.0,54011.0,
263864747,26-3864747,San Diego Geological Society,San Diego Geological Society,San Diego,CA,U36,3,86.63316,san diego,San Diego,CA,92110-4710,3,2024.0,57292.0,53421.0,23168.0,
510183640,51-0183640,San Diego Astronomy Association,San Diego Astronomy Association,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92193-3215,3,2024.0,70153.0,94659.0,289115.0,
330951723,33-0951723,San Diego Woodturners Incorporated,San Diego Woodturners Incorporated,San Diego,CA,A70,3,86.63316,san diego,San Diego,CA,92106-2674,3,2023.0,87202.0,51187.0,390602.0,
330063395,33-0063395,San Diego Womens Association,San Diego Womens Association,San Diego,CA,,3,86.63316,san diego,San Diego,CA,92123-1565,3,2023.0,45408.0,39078.0,16708.0,
464434088,46-4434088,San Diego Tamil Palli,San Diego Tamil Palli,San Diego,CA,B99,3,86.63316,san diego,San Diego,CA,92130-1372,3,,,,,
